title,year,rating,views,genre,duration,director
Up,2009,8.3/10,1M,Animation,1h 36m,Pete Docter
The Sting,1973,8.3/10,263K,Comedy,2h 9m,George Roy Hill
Scarface,1983,8.3/10,839K,Crime,2h 50m,Brian De Palma
To Kill a Mockingbird,1962,8.3/10,317K,Crime,2h 9m,Robert Mulligan
Incendies,2010,8.3/10,178K,Drama,2h 11m,Denis Villeneuve
Hamilton,2020,8.4/10,95K,Biography,2h 40m,Thomas Kail
Double Indemnity,1944,8.3/10,158K,Crime,1h 47m,Billy Wilder
Full Metal Jacket,1987,8.3/10,742K,Drama,1h 56m,Stanley Kubrick
Ikiru,1952,8.3/10,79K,Drama,2h 23m,Akira Kurosawa
The Apartment,1960,8.3/10,182K,Comedy,2h 5m,Billy Wilder
Amélie,2001,8.3/10,757K,Comedy,2h 2m,Jean-Pierre Jeunet
A Clockwork Orange,1971,8.3/10,829K,Crime,2h 16m,Stanley Kubrick
Vertigo,1958,8.3/10,403K,Mystery,2h 8m,Alfred Hitchcock
North by Northwest,1959,8.3/10,329K,Action,2h 16m,Alfred Hitchcock
Lawrence of Arabia,1962,8.3/10,295K,Adventure,3h 38m,David Lean
M,1931,8.3/10,159K,Crime,1h 39m,Fritz Lang
Citizen Kane,1941,8.3/10,443K,Drama,1h 59m,Orson Welles
Reservoir Dogs,1992,8.3/10,1M,Crime,1h 39m,Quentin Tarantino
Come and See,1985,8.4/10,81K,Drama,2h 22m,Elem Klimov
2001: A Space Odyssey,1968,8.3/10,668K,Adventure,2h 29m,Stanley Kubrick
Capernaum,2018,8.4/10,90K,Drama,2h 6m,Nadine Labaki
Eternal Sunshine of the Spotless Mind,2004,8.3/10,1M,Drama,1h 48m,Michel Gondry
The Hunt,2012,8.3/10,331K,Drama,1h 55m,Thomas Vinterberg
Star Wars: Episode VI - Return of the Jedi,1983,8.3/10,1.1M,Action,2h 11m,Richard Marquand
Singin' in the Rain,1952,8.3/10,243K,Comedy,1h 43m,Stanley Donen
Toy Story 3,2010,8.3/10,835K,Animation,1h 43m,Lee Unkrich
High and Low,1963,8.4/10,45K,Crime,2h 23m,Akira Kurosawa
3 Idiots,2009,8.4/10,401K,Comedy,2h 50m,Rajkumar Hirani
Your Name.,2016,8.4/10,268K,Animation,1h 46m,Makoto Shinkai
Requiem for a Dream,2000,8.3/10,841K,Drama,1h 42m,Darren Aronofsky
Top Gun: Maverick,2022,8.4/10,441K,Action,2h 10m,Joseph Kosinski
Once Upon a Time in America,1984,8.3/10,353K,Crime,3h 49m,Sergio Leone
Good Will Hunting,1997,8.3/10,965K,Drama,2h 6m,Gus Van Sant
Princess Mononoke,1997,8.4/10,395K,Animation,2h 14m,Hayao Miyazaki
The Boat,1981,8.4/10,252K,Drama,2h 29m,Wolfgang Petersen
Avengers: Endgame,2019,8.4/10,1.1M,Action,3h 1m,Anthony Russo
Toy Story,1995,8.3/10,992K,Animation,1h 21m,John Lasseter
Braveheart,1995,8.4/10,1M,Biography,2h 58m,Mel Gibson
Coco,2017,8.4/10,506K,Animation,1h 45m,Lee Unkrich
Inglourious Basterds,2009,8.3/10,1.4M,Adventure,2h 33m,Quentin Tarantino
Joker,2019,8.4/10,1.3M,Crime,2h 2m,Todd Phillips
Amadeus,1984,8.4/10,402K,Biography,2h 40m,Milos Forman
Oldboy,2003,8.4/10,579K,Action,2h,Park Chan-wook
The Dark Knight Rises,2012,8.4/10,1.7M,Action,2h 44m,Christopher Nolan
Avengers: Infinity War,2018,8.4/10,1.1M,Action,2h 29m,Anthony Russo
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4/10,491K,Comedy,1h 35m,Stanley Kubrick
American Beauty,1999,8.4/10,1.2M,Drama,2h 2m,Sam Mendes
Aliens,1986,8.4/10,717K,Action,2h 17m,James Cameron
Spider-Man: Into the Spider-Verse,2018,8.4/10,526K,Animation,1h 57m,Bob Persichetti
Witness for the Prosecution,1957,8.4/10,126K,Crime,1h 56m,Billy Wilder
The Great Dictator,1940,8.4/10,225K,Comedy,2h 5m,Charles Chaplin
The Shining,1980,8.4/10,1M,Drama,2h 26m,Stanley Kubrick
Paths of Glory,1957,8.4/10,198K,Drama,1h 28m,Stanley Kubrick
Indiana Jones and the Raiders of the Lost Ark,1981,8.4/10,964K,Action,1h 55m,Steven Spielberg
WALL·E,2008,8.4/10,1.1M,Animation,1h 38m,Andrew Stanton
Sunset Blvd.,1950,8.4/10,223K,Drama,1h 50m,Billy Wilder
The Lives of Others,2006,8.4/10,390K,Drama,2h 17m,Florian Henckel von Donnersmarck
